Manufacturer,Model Number,QTY,ETA
Kraus,GV-700-19mm-SN,25,
Kraus,GV-700-19mm-AB,25,
Kraus,GV-700-19mm-ORB,25,
Kraus,GV-700-19mm-G,25,
Kraus,GV-710-CH,0,11/5/2012
Kraus,GV-710-SN,0,11/5/2012
Kraus,GV-710-ORB,0,11/5/2012
Kraus,GV-710-G,0,11/5/2012
Kraus,C-GV-100-12mm-10CH,0,11/25/2012
Kraus,C-GV-100-12mm-10SN,0,11/25/2012
Kraus,C-GV-100-12mm-10ORB,0,11/25/2012
Kraus,C-GV-100-12mm-10G,0,11/25/2012
Kraus,C-GV-100-12mm-1005CH,0,11/25/2012
Kraus,C-GV-100-12mm-1005SN,0,11/25/2012
Kraus,C-GV-100-12mm-1005ORB,0,11/25/2012
Kraus,C-GV-100-12mm-1800CH,0,11/25/2012
Kraus,C-GV-100-12mm-1810CH,0,11/25/2012
Kraus,C-GV-100-12mm-14300CH,0,11/25/2012
Kraus,C-GV-100-12mm-14600CH,0,11/25/2012
Kraus,C-GV-100-12mm-14700CH,0,11/25/2012
Kraus,C-GV-100-12mm-14800CH,0,1/1/2013
Kraus,C-GV-100-12mm-15000CH,0,11/25/2012
Kraus,C-GV-100-12mm-15000BN,0,11/25/2012
Kraus,C-GV-100-12mm-15000ORB,0,11/25/2012
Kraus,C-GV-100-12mm-15100CH,0,11/25/2012
Kraus,C-GV-100-12mm-15200CH,0,11/25/2012
Kraus,C-GV-100-12mm-15500CH,0,11/25/2012
Kraus,C-GV-100-12mm-15500BN,0,11/25/2012
Kraus,C-GV-101-19mm-10CH,30,
Kraus,C-GV-101-19mm-10SN,30,
Kraus,C-GV-101-19mm-10AB,0,Discontinued
Kraus,C-GV-101-19mm-10ORB,30,
Kraus,C-GV-101-19mm-10G,30,
Kraus,C-GV-101-19mm-1002CH,30,
Kraus,C-GV-101-19mm-1002SN,30,
Kraus,C-GV-101-19mm-1002AB,0,Discontinued
Kraus,C-GV-101-19mm-1002ORB,0,Discontinued
Kraus,C-GV-101-19mm-1005CH,30,
Kraus,C-GV-101-19mm-1005SN,30,
Kraus,C-GV-101-19mm-1005ORB,30,
Kraus,C-GV-101-19mm-1007CH,30,
Kraus,C-GV-101-19mm-1007SN,30,
Kraus,C-GV-101-19mm-1007AB,0,Discontinued
Kraus,C-GV-101-19mm-1007ORB,0,Discontinued
Kraus,C-GV-101-19mm-1100CH,0,Discontinued
Kraus,C-GV-101-19mm-1100SN,0,Discontinued
Kraus,C-GV-101-19mm-1200CH,0,Discontinued
Kraus,C-GV-101-19mm-1200SN,0,Discontinued
Kraus,C-GV-101-19mm-1300CH,30,
Kraus,C-GV-101-19mm-1300SN,30,
Kraus,C-GV-101-19mm-1300AB,0,Discontinued
Kraus,C-GV-101-19mm-1300ORB,0,Discontinued
Kraus,C-GV-101-19mm-1800CH,30,
Kraus,C-GV-101-19mm-1810CH,30,
Kraus,C-GV-101-19mm-2180,30,
Kraus,C-GV-101-19mm-14300CH,30,
Kraus,C-GV-101-19mm-14600CH,30,
Kraus,C-GV-101-19mm-14700CH,30,
Kraus,C-GV-101-19mm-14800CH,0,1/1/2013
Kraus,C-GV-101-19mm-15000CH,30,
Kraus,C-GV-101-19mm-15000BN,30,
Kraus,C-GV-101-19mm-15000ORB,30,
Kraus,C-GV-101-19mm-15100CH,30,
Kraus,C-GV-101-19mm-15200CH,30,
Kraus,C-GV-101-19mm-15500CH,30,
Kraus,C-GV-101-19mm-15500BN,30,
Kraus,C-GV-101-12mm-10CH,30,
Kraus,C-GV-101-12mm-10SN,30,
Kraus,C-GV-101-12mm-10AB,0,Discontinued
Kraus,C-GV-101-12mm-10ORB,30,
Kraus,C-GV-101-12mm-10G,30,
Kraus,C-GV-101-12mm-1002CH,30,
Kraus,C-GV-101-12mm-1002SN,30,
Kraus,C-GV-101-12mm-1002AB,0,Discontinued
Kraus,C-GV-101-12mm-1002ORB,0,Discontinued
Kraus,C-GV-101-12mm-1005CH,30,
Kraus,C-GV-101-12mm-1005SN,30,
Kraus,C-GV-101-12mm-1005ORB,30,
Kraus,C-GV-101-12mm-1007CH,30,
Kraus,C-GV-101-12mm-1007SN,30,
Kraus,C-GV-101-12mm-1007AB,0,Discontinued
Kraus,C-GV-101-12mm-1007ORB,0,Discontinued
Kraus,C-GV-101-12mm-1100CH,0,Discontinued
Kraus,C-GV-101-12mm-1100SN,0,Discontinued
Kraus,C-GV-101-12mm-1200CH,0,Discontinued
Kraus,C-GV-101-12mm-1200SN,0,Discontinued
Kraus,C-GV-101-12mm-1300CH,30,
Kraus,C-GV-101-12mm-1300SN,30,
Kraus,C-GV-101-12mm-1300AB,0,Discontinued
Kraus,C-GV-101-12mm-1300ORB,0,Discontinued
Kraus,C-GV-101-12mm-1800CH,30,
Kraus,C-GV-101-12mm-1810CH,30,
Kraus,C-GV-101-12mm-2180,30,
Kraus,C-GV-101-12mm-14300CH,30,
Kraus,C-GV-101-12mm-14600CH,30,
Kraus,C-GV-101-12mm-14700CH,30,
Kraus,C-GV-101-12mm-14800CH,0,1/1/2013
Kraus,C-GV-101-12mm-15000CH,30,
Kraus,C-GV-101-12mm-15000BN,30,
Kraus,C-GV-101-12mm-15000ORB,30,
Kraus,C-GV-101-12mm-15100CH,30,
Kraus,C-GV-101-12mm-15200CH,30,
Kraus,C-GV-101-12mm-15500CH,30,
Kraus,C-GV-101-12mm-15500BN,30,
Kraus,C-GV-101-14-12mm-10CH,30,
Kraus,C-GV-101-14-12mm-10SN,30,
Kraus,C-GV-101-14-12mm-10AB,0,Discontinued
Kraus,C-GV-101-14-12mm-10ORB,30,
Kraus,C-GV-101-14-12mm-10G,30,
Kraus,C-GV-101-14-12mm-1002CH,30,
Kraus,C-GV-101-14-12mm-1002SN,30,
Kraus,C-GV-101-14-12mm-1002AB,0,Discontinued
Kraus,C-GV-101-14-12mm-1002ORB,0,Discontinued
Kraus,C-GV-101-14-12mm-1005CH,30,
Kraus,C-GV-101-14-12mm-1005SN,30,
Kraus,C-GV-101-14-12mm-1005ORB,30,
Kraus,C-GV-101-14-12mm-1007CH,30,
Kraus,C-GV-101-14-12mm-1007SN,30,
Kraus,C-GV-101-14-12mm-1007AB,0,Discontinued
Kraus,C-GV-101-14-12mm-1007ORB,0,Discontinued
Kraus,C-GV-101-14-12mm-1300CH,30,
Kraus,C-GV-101-14-12mm-1300SN,30,
Kraus,C-GV-101-14-12mm-1300AB,0,Discontinued
Kraus,C-GV-101-14-12mm-1300ORB,0,Discontinued
Kraus,C-GV-101-14-12mm-1800CH,30,
Kraus,C-GV-101-14-12mm-1810CH,30,
Kraus,C-GV-150-19mm-10CH,30,
Kraus,C-GV-150-19mm-10SN,30,
Kraus,C-GV-150-19mm-10AB,0,Discontinued
Kraus,C-GV-150-19mm-10ORB,30,
Kraus,C-GV-150-19mm-10G,30,
Kraus,C-GV-150-19mm-1005CH,30,
Kraus,C-GV-150-19mm-1005SN,30,
Kraus,C-GV-150-19mm-1005ORB,30,
Kraus,C-GV-150-19mm-1800CH,30,
Kraus,C-GV-150-19mm-1810CH,30,
Kraus,C-GV-101FR-12mm-10CH,30,
Kraus,C-GV-101FR-12mm-10SN,30,
Kraus,C-GV-101FR-12mm-10AB,0,Discontinued
Kraus,C-GV-101FR-12mm-10ORB,30,
Kraus,C-GV-101FR-12mm-10G,30,
Kraus,C-GV-101FR-12mm-1002CH,30,
Kraus,C-GV-101FR-12mm-1002SN,30,
Kraus,C-GV-101FR-12mm-1002AB,0,Discontinued
Kraus,C-GV-101FR-12mm-1002ORB,0,Discontinued
Kraus,C-GV-101FR-12mm-1005CH,30,
Kraus,C-GV-101FR-12mm-1005SN,30,
Kraus,C-GV-101FR-12mm-1005ORB,30,
Kraus,C-GV-101FR-12mm-1007CH,30,
Kraus,C-GV-101FR-12mm-1007SN,30,
Kraus,C-GV-101FR-12mm-1007AB,0,Discontinued
Kraus,C-GV-101FR-12mm-1007ORB,0,Discontinued
Kraus,C-GV-101FR-12mm-1100CH,0,Discontinued
Kraus,C-GV-101FR-12mm-1100SN,0,Discontinued
Kraus,C-GV-101FR-12mm-1200CH,0,Discontinued
Kraus,C-GV-101FR-12mm-1200SN,0,Discontinued
Kraus,C-GV-101FR-12mm-1300CH,30,
Kraus,C-GV-101FR-12mm-1300SN,30,
Kraus,C-GV-101FR-12mm-1300AB,0,Discontinued
Kraus,C-GV-101FR-12mm-1300ORB,0,Discontinued
Kraus,C-GV-101FR-12mm-1800CH,30,
Kraus,C-GV-101FR-12mm-1810CH,30,
Kraus,C-GV-101FR-12mm-2180,30,
Kraus,C-GV-101FR-12mm-14300CH,30,
Kraus,C-GV-101FR-12mm-14600CH,30,
Kraus,C-GV-101FR-12mm-14700CH,30,
Kraus,C-GV-101FR-12mm-14800CH,0,1/1/2013
Kraus,C-GV-101FR-12mm-15000CH,30,
Kraus,C-GV-101FR-12mm-15000BN,30,
Kraus,C-GV-101FR-12mm-15000ORB,30,
Kraus,C-GV-101FR-12mm-15100CH,30,
Kraus,C-GV-101FR-12mm-15200CH,30,
Kraus,C-GV-101FR-12mm-15500CH,30,
Kraus,C-GV-101FR-12mm-15500BN,30,
Kraus,C-GV-101FR-14-12mm-10CH,30,
Kraus,C-GV-101FR-14-12mm-10SN,30,
Kraus,C-GV-101FR-14-12mm-10AB,0,Discontinued
Kraus,C-GV-101FR-14-12mm-10ORB,30,
Kraus,C-GV-101FR-14-12mm-10G,30,
Kraus,C-GV-101FR-14-12mm-1002CH,30,
Kraus,C-GV-101FR-14-12mm-1002SN,30,
Kraus,C-GV-101FR-14-12mm-1002AB,0,Discontinued
Kraus,C-GV-101FR-14-12mm-1002ORB,0,Discontinued
Kraus,C-GV-101FR-14-12mm-1005CH,30,
Kraus,C-GV-101FR-14-12mm-1005SN,30,
Kraus,C-GV-101FR-14-12mm-1005ORB,30,
Kraus,C-GV-101FR-14-12mm-1007CH,30,
Kraus,C-GV-101FR-14-12mm-1007SN,30,
Kraus,C-GV-101FR-14-12mm-1007AB,0,Discontinued
Kraus,C-GV-101FR-14-12mm-1007ORB,0,Discontinued
Kraus,C-GV-101FR-14-12mm-1300CH,30,
Kraus,C-GV-101FR-14-12mm-1300SN,30,
Kraus,C-GV-101FR-14-12mm-1300AB,0,Discontinued
Kraus,C-GV-101FR-14-12mm-1300ORB,0,Discontinued
Kraus,C-GV-101FR-14-12mm-1800CH,30,
Kraus,C-GV-101FR-14-12mm-1810CH,30,
Kraus,C-GV-103-12mm-10CH,30,
Kraus,C-GV-103-12mm-10SN,30,
Kraus,C-GV-103-12mm-10AB,0,Discontinued
Kraus,C-GV-103-12mm-10ORB,30,
Kraus,C-GV-103-12mm-10G,30,
Kraus,C-GV-103-12mm-1002CH,30,
Kraus,C-GV-103-12mm-1002SN,30,
Kraus,C-GV-103-12mm-1002AB,0,Discontinued
Kraus,C-GV-103-12mm-1002ORB,0,Discontinued
Kraus,C-GV-103-12mm-1005CH,30,
Kraus,C-GV-103-12mm-1005SN,30,
Kraus,C-GV-103-12mm-1005ORB,30,
Kraus,C-GV-103-12mm-1007CH,30,
Kraus,C-GV-103-12mm-1007SN,30,
Kraus,C-GV-103-12mm-1007AB,0,Discontinued
Kraus,C-GV-103-12mm-1007ORB,0,Discontinued
Kraus,C-GV-103-12mm-1100CH,0,Discontinued
Kraus,C-GV-103-12mm-1100SN,0,Discontinued
Kraus,C-GV-103-12mm-1200CH,0,Discontinued
Kraus,C-GV-103-12mm-1200SN,0,Discontinued
Kraus,C-GV-103-12mm-1300CH,30,
Kraus,C-GV-103-12mm-1300SN,30,
Kraus,C-GV-103-12mm-1300AB,0,Discontinued
Kraus,C-GV-103-12mm-1300ORB,0,Discontinued
Kraus,C-GV-103-12mm-1800CH,30,
Kraus,C-GV-103-12mm-1810CH,30,
Kraus,C-GV-103-12mm-2180,30,
Kraus,C-GV-103-12mm-14300CH,30,
Kraus,C-GV-103-12mm-14600CH,30,
Kraus,C-GV-103-12mm-14700CH,30,
Kraus,C-GV-103-12mm-14800CH,0,1/1/2013
Kraus,C-GV-103-12mm-15000CH,30,
Kraus,C-GV-103-12mm-15000BN,30,
Kraus,C-GV-103-12mm-15000ORB,30,
Kraus,C-GV-103-12mm-15100CH,30,
Kraus,C-GV-103-12mm-15200CH,30,
Kraus,C-GV-103-12mm-15500CH,30,
Kraus,C-GV-103-12mm-15500BN,30,
Kraus,C-GV-103-14-12mm-10CH,30,
Kraus,C-GV-103-14-12mm-10SN,30,
Kraus,C-GV-103-14-12mm-10AB,0,Discontinued
Kraus,C-GV-103-14-12mm-10ORB,30,
Kraus,C-GV-103-14-12mm-10G,30,
Kraus,C-GV-103-14-12mm-1002CH,30,
Kraus,C-GV-103-14-12mm-1002SN,30,
Kraus,C-GV-103-14-12mm-1002AB,0,Discontinued
Kraus,C-GV-103-14-12mm-1002ORB,0,Discontinued
Kraus,C-GV-103-14-12mm-1005CH,30,
Kraus,C-GV-103-14-12mm-1005SN,30,
Kraus,C-GV-103-14-12mm-1005ORB,30,
Kraus,C-GV-103-14-12mm-1007CH,30,
Kraus,C-GV-103-14-12mm-1007SN,30,
Kraus,C-GV-103-14-12mm-1007AB,0,Discontinued
Kraus,C-GV-103-14-12mm-1007ORB,0,Discontinued
Kraus,C-GV-103-14-12mm-1300CH,30,
